Case ID,Change Hours,Assigned
278086,,FALSE
279007,,TRUE
279011,,TRUE
280055,,FALSE
280056,,TRUE
280081,,TRUE
280082,,FALSE
280083,,TRUE
280085,,TRUE
280086,,TRUE
280087,,TRUE
280103,,TRUE
287030,,TRUE
287032,,TRUE
287035,,TRUE
287036,,FALSE
287037,,TRUE
287039,,TRUE
287040,,FALSE
287041,,TRUE
297016,,TRUE
297017,,TRUE
297018,,TRUE
297020,,FALSE
302081,,TRUE
302083,,TRUE
302084,,TRUE
302087,,TRUE
302089,,TRUE
302091,,TRUE
302093,,TRUE
302095,,TRUE
302097,,TRUE
302099,,TRUE
302101,,TRUE
302103,,FALSE
302105,,TRUE
302107,,TRUE
302109,,TRUE
302111,,FALSE
302113,,TRUE
302115,,TRUE
302117,,TRUE
302119,,TRUE
302121,,TRUE
302123,,TRUE
302125,,TRUE
302127,,TRUE
302129,,TRUE
302131,,TRUE
302133,,TRUE
302135,,TRUE
302137,,TRUE
302139,,TRUE
302141,,TRUE
302143,,TRUE
302145,,TRUE
302147,,TRUE
302149,,TRUE
302151,,TRUE
302153,,TRUE
302155,,TRUE
302157,,TRUE
302159,,FALSE
302162,,TRUE
302164,,TRUE
302166,,TRUE
302168,,TRUE
302170,,TRUE
302172,,TRUE
302174,,TRUE
302176,,TRUE
302178,,TRUE
302180,,TRUE
302182,,TRUE
302184,,TRUE
302186,,TRUE
302188,,TRUE
302190,,TRUE
302192,,FALSE
302194,,TRUE
302196,,TRUE
302198,,TRUE
302200,,TRUE
302202,,TRUE
302204,,FALSE
302207,,TRUE
302209,,TRUE
302211,,TRUE
302213,,TRUE
302215,,TRUE
302218,,TRUE
302221,,TRUE
302223,,FALSE
302225,,TRUE
302227,,TRUE
302229,,FALSE
302231,,FALSE
302233,,TRUE
302235,,TRUE
302237,,TRUE
302239,,TRUE
302241,,TRUE
302243,,TRUE
302245,,TRUE
302248,,TRUE
302250,,TRUE
302252,,FALSE
302254,,TRUE
302256,,TRUE
302258,,TRUE
302260,,TRUE
302262,,TRUE
302264,,TRUE
302266,,TRUE
302268,,TRUE
302270,,TRUE
302272,,TRUE
302274,,TRUE
302276,,TRUE
302278,,TRUE
302280,,TRUE
302282,,TRUE
302284,,FALSE
302286,,FALSE
302288,,FALSE
302290,,FALSE
302292,,FALSE
302294,,FALSE
302296,,FALSE
302298,,TRUE
302300,,FALSE
302302,,FALSE
302304,,FALSE
302307,,FALSE
302309,,FALSE
302311,,TRUE
302315,,FALSE
302317,,TRUE
302320,,FALSE
302322,,TRUE
302324,,TRUE
302326,,TRUE
302330,,FALSE
302332,,TRUE
302334,,TRUE
302336,,TRUE
302339,,TRUE
302341,,TRUE
302343,,TRUE
302345,,TRUE
302347,,TRUE
302350,,TRUE
302354,,TRUE
302356,,TRUE
302358,,TRUE
302360,,TRUE
302363,,TRUE
302365,,TRUE
302368,,TRUE
302370,,TRUE
302372,,TRUE
302374,,TRUE
302377,,TRUE
302379,,TRUE
302381,,TRUE
302384,,TRUE
302387,,TRUE
302389,,TRUE
302393,,TRUE
302395,,TRUE
302397,,TRUE
302399,,TRUE
302402,,TRUE
302404,,TRUE
302406,,TRUE
302408,,TRUE
302410,,TRUE
302412,,TRUE
302414,,TRUE
302416,,TRUE
302419,,TRUE
302422,,TRUE
302424,,TRUE
302426,,TRUE
302428,,TRUE
302430,,TRUE
302432,,FALSE
302435,,TRUE
302437,,TRUE
302439,,TRUE
302441,,TRUE
302444,,TRUE
302446,,TRUE
302448,,TRUE
302450,,TRUE
302452,,TRUE
302454,,TRUE
302457,,TRUE
302459,,TRUE
302461,,TRUE
302464,,TRUE
302466,,TRUE
302468,,TRUE
302470,,TRUE
302472,,TRUE
302474,,TRUE
302476,,TRUE
302478,,TRUE
302480,,TRUE
302484,,TRUE
302486,,TRUE
302489,,TRUE
302492,,TRUE
302494,,TRUE
302497,,TRUE
302499,,TRUE
302501,,TRUE
302503,,TRUE
302505,,TRUE
302508,,TRUE
302510,,TRUE
302514,,TRUE
302517,,TRUE
302519,,TRUE
302521,,TRUE
302524,,TRUE
302525,,TRUE
306082,,TRUE
306083,,FALSE
306084,,TRUE
306087,,TRUE
306088,,FALSE
306089,,TRUE
306091,,FALSE
306092,,FALSE
306093,,FALSE
306097,,TRUE
306099,,TRUE
306102,,TRUE
306104,,TRUE
306106,,TRUE
306108,,TRUE
306110,,TRUE
306118,,TRUE
306120,,TRUE
306135,,TRUE
306137,,TRUE
306139,,TRUE
306141,,TRUE
306143,,TRUE
307002,,TRUE
307004,,TRUE
307008,,TRUE
307012,,TRUE
307014,,TRUE
307016,,TRUE
307020,,TRUE
307022,,TRUE
307024,,TRUE
307026,,TRUE
307028,,TRUE
307030,,TRUE
307032,,TRUE
307041,,TRUE
307043,,TRUE
307046,,TRUE
307048,,TRUE
307050,,TRUE
307052,,TRUE
307054,,TRUE
307056,,TRUE
307059,,TRUE
307061,,FALSE
307063,,FALSE
307065,,FALSE
307067,,FALSE
307077,,FALSE
307079,,FALSE
307081,,FALSE
307083,,TRUE
307085,,TRUE
307091,,TRUE
307093,,TRUE
307095,,TRUE
307097,,TRUE
307099,,TRUE
307101,,FALSE
307108,,TRUE
307110,,TRUE
307112,,FALSE
307114,,FALSE
307119,,FALSE
307121,,FALSE
307123,,TRUE
307125,,FALSE
307127,,TRUE
307138,,TRUE
307140,,TRUE
307146,,TRUE
310030,,TRUE
310056,,TRUE
310058,,TRUE
310062,,TRUE
310064,,TRUE
310066,,TRUE
310077,,TRUE
310080,,FALSE
310085,,TRUE
310087,,TRUE
310089,,TRUE
310091,,TRUE
310093,,TRUE
310095,,TRUE
313011,,TRUE
313013,,TRUE
313016,,TRUE
313017,,TRUE
313020,,TRUE
313022,,TRUE
313024,,TRUE
313026,,TRUE
313028,,TRUE
313030,,TRUE
313032,,TRUE
313034,,TRUE
313036,,TRUE
313038,,TRUE
313040,,TRUE
313042,,TRUE
313044,,TRUE
313046,,TRUE
313048,,TRUE
313050,,TRUE
313052,,TRUE
313054,,TRUE
313056,,TRUE
313058,,TRUE
313060,,TRUE
313062,,TRUE
313064,,TRUE
313066,,TRUE
313068,,TRUE
313070,,TRUE
313072,,TRUE
313074,,TRUE
313076,,TRUE
313078,,TRUE
313080,,TRUE
313082,,TRUE
313084,,TRUE
313086,,TRUE
313088,,TRUE
313090,,FALSE
313093,,TRUE
313095,,TRUE
313097,,TRUE
313099,,TRUE
313101,,TRUE
313103,,TRUE
313105,,TRUE
313107,,TRUE
313109,,TRUE
313111,,TRUE
313113,,TRUE
313115,,TRUE
313117,,TRUE
313119,,TRUE
313121,,TRUE
313123,,TRUE
313125,,TRUE
313127,,TRUE
313129,,TRUE
313131,,TRUE
313133,,TRUE
313135,,FALSE
313138,,TRUE
313140,,TRUE
313142,,TRUE
313144,,TRUE
313146,,TRUE
313149,,TRUE
313152,,TRUE
313154,,TRUE
313156,,TRUE
313158,,TRUE
313160,,TRUE
313162,,FALSE
313164,,TRUE
313166,,TRUE
313168,,TRUE
313170,,TRUE
313172,,TRUE
313174,,TRUE
313176,,TRUE
313179,,TRUE
313181,,TRUE
313183,,TRUE
313185,,TRUE
313187,,TRUE
313189,,TRUE
313191,,TRUE
313193,,TRUE
313195,,TRUE
313197,,TRUE
313199,,TRUE
313201,,TRUE
313203,,TRUE
313205,,TRUE
313207,,TRUE
313209,,TRUE
313211,,TRUE
313213,,TRUE
313215,,TRUE
313217,,TRUE
313219,,TRUE
313221,,TRUE
313223,,TRUE
313225,,TRUE
313227,,TRUE
313229,,TRUE
313231,,TRUE
313233,,TRUE
313235,,TRUE
313238,,TRUE
313240,,TRUE
313242,,TRUE
313246,,TRUE
313248,,TRUE
313251,,TRUE
313253,,TRUE
313255,,TRUE
313257,,TRUE
313261,,FALSE
313263,,TRUE
313265,,TRUE
313267,,TRUE
313270,,TRUE
313272,,TRUE
313274,,TRUE
313276,,TRUE
313278,,TRUE
313281,,TRUE
313285,,TRUE
313287,,TRUE
313289,,TRUE
313291,,TRUE
313294,,TRUE
313296,,TRUE
313299,,TRUE
313301,,TRUE
313303,,TRUE
313305,,TRUE
313308,,TRUE
313310,,TRUE
313312,,TRUE
313315,,TRUE
313318,,TRUE
313320,,TRUE
313324,,TRUE
313326,,TRUE
313327,,TRUE
313330,,TRUE
313333,,TRUE
313335,,TRUE
313337,,TRUE
313339,,TRUE
313341,,TRUE
313343,,TRUE
313345,,TRUE
313347,,TRUE
313350,,TRUE
313353,,TRUE
313355,,TRUE
313357,,TRUE
313359,,TRUE
313361,,TRUE
313363,,FALSE
313366,,TRUE
313368,,TRUE
313370,,TRUE
313372,,TRUE
313375,,TRUE
313377,,TRUE
313379,,TRUE
313381,,TRUE
313383,,TRUE
313385,,TRUE
313388,,TRUE
313390,,TRUE
313392,,TRUE
313395,,TRUE
313397,,TRUE
313399,,TRUE
313401,,TRUE
313403,,TRUE
313405,,TRUE
313407,,TRUE
313409,,TRUE
313411,,TRUE
313415,,TRUE
313416,,TRUE
313420,,TRUE
313423,,TRUE
313425,,TRUE
313428,,TRUE
313430,,TRUE
313432,,TRUE
313434,,TRUE
313436,,TRUE
313439,,TRUE
313441,,TRUE
313445,,TRUE
313447,,FALSE
313450,,TRUE
313452,,TRUE
313455,,TRUE
313456,,TRUE
313462,,TRUE
313464,,TRUE
313467,,TRUE
313469,,TRUE
313471,,TRUE
313473,,TRUE
313475,,TRUE
313477,,TRUE
313479,,TRUE
313481,,TRUE
313483,,TRUE
313485,,TRUE
313487,,TRUE
313489,,TRUE
313491,,TRUE
313493,,TRUE
313495,,TRUE
313497,,TRUE
313499,,TRUE
313501,,TRUE
313503,,TRUE
313505,,TRUE
313507,,TRUE
313509,,TRUE
313511,,TRUE
313513,,TRUE
313515,,TRUE
313517,,TRUE
313519,,TRUE
313521,,TRUE
313523,,TRUE
313525,,TRUE
313527,,TRUE
313529,,TRUE
313531,,TRUE
313533,,TRUE
313535,,TRUE
313537,,TRUE
313539,,TRUE
313541,,FALSE
313544,,TRUE
313546,,TRUE
313548,,TRUE
313550,,TRUE
313552,,TRUE
313554,,TRUE
313556,,TRUE
313558,,TRUE
313560,,TRUE
313562,,TRUE
313564,,TRUE
313566,,TRUE
313568,,TRUE
313570,,TRUE
313572,,TRUE
313574,,TRUE
313576,,TRUE
313578,,TRUE
313580,,TRUE
313582,,TRUE
313584,,TRUE
313586,,FALSE
313589,,TRUE
313591,,TRUE
313593,,TRUE
313595,,TRUE
313597,,TRUE
313600,,TRUE
313602,,TRUE
313605,,TRUE
313607,,TRUE
313609,,TRUE
313611,,TRUE
313613,,FALSE
313615,,TRUE
313617,,TRUE
313619,,TRUE
313621,,TRUE
313623,,TRUE
313625,,TRUE
313627,,TRUE
313630,,TRUE
313632,,TRUE
313634,,TRUE
313636,,TRUE
313638,,TRUE
313640,,TRUE
313642,,TRUE
313644,,TRUE
313646,,TRUE
313648,,TRUE
313650,,TRUE
313652,,TRUE
313654,,TRUE
313656,,TRUE
313658,,TRUE
313660,,TRUE
313662,,TRUE
313664,,TRUE
313666,,TRUE
313668,,TRUE
313670,,TRUE
313672,,TRUE
313674,,TRUE
313676,,TRUE
313678,,TRUE
313680,,TRUE
313682,,TRUE
313684,,TRUE
313686,,TRUE
313689,,TRUE
313691,,TRUE
313693,,TRUE
313697,,TRUE
313698,,TRUE
313702,,TRUE
313704,,TRUE
313706,,TRUE
313708,,TRUE
313712,,FALSE
313714,,TRUE
313716,,TRUE
313717,,TRUE
313721,,TRUE
313723,,TRUE
313725,,TRUE
313727,,TRUE
313729,,TRUE
313732,,TRUE
313736,,TRUE
313738,,TRUE
313740,,TRUE
313742,,TRUE
313745,,TRUE
313747,,TRUE
313750,,TRUE
313752,,TRUE
313754,,TRUE
313756,,TRUE
313759,,TRUE
313761,,TRUE
313763,,TRUE
313766,,TRUE
313768,,TRUE
313771,,TRUE
313775,,TRUE
313777,,TRUE
313779,,TRUE
313781,,TRUE
313784,,TRUE
313786,,TRUE
313788,,TRUE
313790,,TRUE
313792,,TRUE
313794,,TRUE
313796,,TRUE
313798,,TRUE
313801,,TRUE
313804,,TRUE
313806,,TRUE
313808,,TRUE
313810,,TRUE
313812,,TRUE
313814,,FALSE
313817,,TRUE
313819,,TRUE
313821,,TRUE
313823,,TRUE
313826,,TRUE
313828,,TRUE
313830,,TRUE
313832,,TRUE
313834,,TRUE
313836,,TRUE
313839,,TRUE
313841,,TRUE
313843,,TRUE
313846,,TRUE
313848,,TRUE
313849,,TRUE
313852,,TRUE
313854,,TRUE
313856,,TRUE
313858,,TRUE
313860,,TRUE
313862,,TRUE
313866,,TRUE
313868,,TRUE
313871,,TRUE
313874,,TRUE
313875,,TRUE
313879,,TRUE
313881,,TRUE
313883,,TRUE
313885,,TRUE
313887,,TRUE
313890,,TRUE
313892,,TRUE
313896,,TRUE
313899,,TRUE
313901,,TRUE
313903,,TRUE
313905,,TRUE
313907,,TRUE
314005,,TRUE
314007,,TRUE
314009,,TRUE
314012,,TRUE
314014,,TRUE
314016,,TRUE
314018,,TRUE
314020,,TRUE
314022,,TRUE
314024,,TRUE
314026,,TRUE
314028,,TRUE
314030,,TRUE
314032,,TRUE
314034,,TRUE
314036,,TRUE
314038,,TRUE
314040,,TRUE
314042,,TRUE
314044,,TRUE
314046,,TRUE
314048,,TRUE
314050,,TRUE
314052,,TRUE
314054,,TRUE
314056,,TRUE
314058,,TRUE
314060,,TRUE
314062,,TRUE
314064,,TRUE
314066,,TRUE
314068,,TRUE
314070,,TRUE
314072,,TRUE
314074,,TRUE
314076,,TRUE
314078,,TRUE
314080,,TRUE
314082,,TRUE
314085,,TRUE
314087,,TRUE
314089,,TRUE
314091,,TRUE
314093,,TRUE
314096,,TRUE
314098,,TRUE
314100,,TRUE
314102,,TRUE
314104,,TRUE
314106,,TRUE
314108,,TRUE
314111,,TRUE
314113,,TRUE
314115,,TRUE
314117,,TRUE
314119,,TRUE
314121,,TRUE
314123,,TRUE
314125,,TRUE
314128,,TRUE
314130,,TRUE
314132,,TRUE
314134,,TRUE
314136,,TRUE
314138,,TRUE
314140,,TRUE
314142,,TRUE
314144,,TRUE
314146,,TRUE
314148,,TRUE
314150,,TRUE
314152,,TRUE
314154,,TRUE
314156,,TRUE
314158,,TRUE
314160,,TRUE
314162,,TRUE
314164,,TRUE
314166,,TRUE
314168,,TRUE
314170,,TRUE
314172,,TRUE
314174,,TRUE
314176,,TRUE
314178,,TRUE
314180,,TRUE
314182,,TRUE
314184,,TRUE
314186,,TRUE
314188,,TRUE
314190,,TRUE
314192,,TRUE
314194,,TRUE
314196,,TRUE
314198,,TRUE
314200,,TRUE
314202,,TRUE
314204,,TRUE
314206,,TRUE
314208,,TRUE
314210,,TRUE
314212,,TRUE
314215,,TRUE
314217,,TRUE
314219,,TRUE
314221,,TRUE
314224,,TRUE
314226,,TRUE
314228,,TRUE
314230,,TRUE
314232,,TRUE
314234,,TRUE
314237,,TRUE
314240,,TRUE
314242,,TRUE
314244,,TRUE
314246,,TRUE
314248,,TRUE
314250,,TRUE
314253,,TRUE
314255,,TRUE
314257,,TRUE
314259,,TRUE
314261,,TRUE
314263,,TRUE
314266,,TRUE
314268,,TRUE
314270,,TRUE
314272,,TRUE
314274,,TRUE
314276,,TRUE
314278,,TRUE
314280,,TRUE
314282,,TRUE
314284,,TRUE
314286,,TRUE
314288,,TRUE
314290,,TRUE
314292,,TRUE
314294,,TRUE
314296,,TRUE
314299,,TRUE
314301,,TRUE
314303,,TRUE
314306,,TRUE
314309,,TRUE
314310,,TRUE
314313,,TRUE
314315,,TRUE
314317,,TRUE
314319,,TRUE
314321,,TRUE
314323,,TRUE
314325,,TRUE
314327,,TRUE
314329,,TRUE
314331,,TRUE
314334,,TRUE
314336,,TRUE
314338,,TRUE
314340,,TRUE
314342,,TRUE
314344,,TRUE
314347,,TRUE
314350,,TRUE
314352,,TRUE
314354,,TRUE
314356,,TRUE
314360,,TRUE
314361,,TRUE
314364,,TRUE
314366,,TRUE
314368,,TRUE
314370,,TRUE
314372,,TRUE
314374,,TRUE
314376,,TRUE
314378,,TRUE
314381,,TRUE
314383,,TRUE
314385,,TRUE
314387,,TRUE
314389,,TRUE
314391,,TRUE
314393,,TRUE
314395,,TRUE
314399,,TRUE
314401,,TRUE
314403,,TRUE
314407,,TRUE
314409,,TRUE
314413,,TRUE
314416,,TRUE
314418,,TRUE
314421,,TRUE
314424,,TRUE
314426,,TRUE
314429,,TRUE
314431,,TRUE
314435,,TRUE
314438,,TRUE
314439,,TRUE
314442,,TRUE
314444,,TRUE
314447,,TRUE
314450,,TRUE
314453,,TRUE
314455,,TRUE
314456,,TRUE
314457,,TRUE
314459,,TRUE
314462,,TRUE
314464,,TRUE
314466,,TRUE
314469,,TRUE
314471,,TRUE
314473,,TRUE
314475,,TRUE
314478,,TRUE
314480,,TRUE
314482,,TRUE
314484,,TRUE
314486,,TRUE
314489,,TRUE
314491,,TRUE
314493,,TRUE
314497,,TRUE
314499,,TRUE
314502,,TRUE
314504,,TRUE
314508,,TRUE
314510,,TRUE
314512,,TRUE
314514,,TRUE
314516,,TRUE
314519,,TRUE
314521,,TRUE
314527,,TRUE
314530,,TRUE
314533,,TRUE
314535,,TRUE
314540,,TRUE
314542,,FALSE
314546,,FALSE
314548,,FALSE
314552,,FALSE
314554,,FALSE
314556,,FALSE
314558,,FALSE
314560,,FALSE
314562,,FALSE
314567,,FALSE
314570,,FALSE
314574,,FALSE
314577,,FALSE
314582,,FALSE
314583,,FALSE
315002,,TRUE
315003,,TRUE
315030,,TRUE
315031,,TRUE
315033,,TRUE
315036,,TRUE
315038,,TRUE
315040,,TRUE
315042,,TRUE
315044,,TRUE
315046,,TRUE
315048,,TRUE
315050,,TRUE
315052,,TRUE
315054,,TRUE
315056,,TRUE
315059,,TRUE
315061,,TRUE
315063,,TRUE
315065,,TRUE
315067,,TRUE
315069,,TRUE
315071,,TRUE
315073,,TRUE
315075,,TRUE
315077,,TRUE
315079,,TRUE
315081,,TRUE
315083,,TRUE
315086,,TRUE
315088,,TRUE
315090,,TRUE
315092,,TRUE
315094,,TRUE
315096,,TRUE
315098,,TRUE
315100,,TRUE
315102,,TRUE
315104,,TRUE
315107,,TRUE
315109,,TRUE
315111,,TRUE
315113,,TRUE
315115,,TRUE
315118,,TRUE
315120,,TRUE
315122,,TRUE
315124,,TRUE
315126,,TRUE
315128,,TRUE
315131,,TRUE
315135,,TRUE
315137,,TRUE
315139,,TRUE
315142,,TRUE
315144,,TRUE
315146,,TRUE
315148,,TRUE
315150,,TRUE
315152,,TRUE
315155,,TRUE
315157,,TRUE
315160,,TRUE
315162,,TRUE
315164,,TRUE
315168,,TRUE
315170,,TRUE
315173,,TRUE
315175,,TRUE
315179,,TRUE
315181,,TRUE
315183,,TRUE
315185,,TRUE
315187,,TRUE
315188,,TRUE
